issue_number,total_events,reopen_count,unique_actors,reassignment_count,first_assignee,sla_breach_flag,all_labels_seen
101183,7,0,3,1,Venkat6871,0,type:bug|comp:xla|TF 2.19|stat:awaiting response|stale
101188,7,0,3,1,Venkat6871,0,type:bug|comp:xla|TF 2.19|stat:awaiting response|stale
101201,6,0,3,1,Venkat6871,0,type:bug|comp:keras|TF 2.19|awaiting PR merge
101296,6,0,4,1,Venkat6871,0,type:bug|TF 2.19|comp:keras|subtype: ubuntu/linux
101307,7,0,4,1,Venkat6871,0,type:build/install|TF 2.18|subtype:windows|stat:awaiting response
101361,11,0,5,3,Venkat6871,0,type:bug|comp:lite|TF 2.19|stat:awaiting response|stale
101391,6,0,4,1,Venkat6871,0,type:build/install|TF 2.19|stat:awaiting response|stale
101397,11,0,5,3,Venkat6871,0,type:bug|TF 2.19|comp:lite|stat:awaiting response|stale
101472,7,0,4,2,Venkat6871,0,type:others|TF 2.19|stat:awaiting response
101499,5,0,3,1,Venkat6871,0,type:bug|TF 2.19|comp:keras
101516,9,0,4,1,Venkat6871,0,type:bug|type:docs-bug|TF 2.19|awaiting PR merge|comp:ops
101521,9,0,4,1,Venkat6871,0,type:bug|type:docs-bug|TF 2.19|awaiting PR merge|comp:ops
101578,6,0,4,1,Venkat6871,0,type:bug|type:docs-bug|TF 2.19|awaiting PR merge
101746,7,0,3,1,Venkat6871,0,type:bug|TF 2.19|comp:gpu|stat:awaiting response|stale
101889,10,0,4,3,Venkat6871,0,comp:lite|TF 2.16|stat:awaiting response|stale
101960,7,0,3,1,Venkat6871,0,type:bug|TF 2.19|type:build/install|subtype:windows|stat:awaiting response
102027,9,0,3,1,Venkat6871,0,type:bug|type:docs-bug|TF 2.19|comp:apis|awaiting PR merge
102044,4,0,4,1,Venkat6871,0,type:bug|TF 2.13
102055,3,0,2,1,Venkat6871,0,type:bug
102065,9,0,4,1,Venkat6871,0,type:performance|comp:xla|comp:gpu|TF 2.13|stat:awaiting response|stale
102071,10,0,5,2,Venkat6871,0,type:others|comp:lite|TF 2.19|stat:awaiting response
102158,3,0,3,1,Venkat6871,0,type:bug
102206,7,0,3,1,Venkat6871,0,type:build/install|TF 2.19|subtype: ubuntu/linux|stat:awaiting response|stale
102343,15,0,3,1,Venkat6871,0,type:bug|type:docs-bug|comp:ops|TF 2.19|awaiting PR merge
102349,9,0,3,1,Venkat6871,0,type:bug|type:docs-bug|comp:ops|awaiting PR merge|TF 2.19
102416,5,0,3,1,Venkat6871,0,type:build/install|TF 2.19|subtype: ubuntu/linux
102475,3,0,3,1,Venkat6871,0,type:bug
102490,12,0,6,3,Venkat6871,0,comp:lite|TF 2.19|stat:awaiting response|stale
102492,9,0,3,1,Venkat6871,0,type:bug|TF 2.18|comp:ops|stat:awaiting response|stale
102572,7,0,4,2,Venkat6871,0,type:build/install|comp:lite|awaiting PR merge
102743,6,0,4,1,Venkat6871,0,type:build/install|TF2.14|stat:awaiting response
102812,5,0,3,1,Venkat6871,0,type:bug|TF 2.19|comp:ops
102864,12,0,4,3,Venkat6871,0,type:build/install|comp:lite|TF 2.19|subtype:macOS|stat:awaiting response
102870,6,0,3,1,Venkat6871,0,type:bug|TF 2.19|comp:keras|stat:awaiting response
102880,7,0,3,1,Venkat6871,0,type:bug|TF 2.19|comp:keras|stat:awaiting response|stale
103263,6,0,4,2,Venkat6871,0,comp:lite|stat:awaiting response
103352,9,0,3,1,Venkat6871,0,type:bug|type:docs-bug|TF 2.19|comp:ops|awaiting PR merge|stat:awaiting response
103407,7,0,3,1,Venkat6871,0,type:bug|TF 2.19|stat:awaiting response
103429,10,0,6,3,Venkat6871,0,type:bug|comp:lite|stat:awaiting response|stale
103430,12,0,3,1,Venkat6871,0,type:bug|TF 2.19|comp:model|stat:awaiting response
103434,6,0,3,1,Venkat6871,0,type:others|TF 2.5|stat:awaiting response|stale
