issue_number,primary_label,text_length,word_count,question_mark_flag,has_solution_comment,turn_count,reassignment_count,reopen_count,resolution_success,sla_breach_flag,sla_remaining_norm,sla_limit_hours,frustration_score,interaction_depth,first_response_time_hours,intent_group,confidence_score,uncertainty_flag,confidence_band,rl_recommendation,suggested_action,urgency_score,urgent_flag,has_version,has_error_type,has_platform,has_hardware,entity_count,missing_version,missing_error,missing_platform,missing_hardware,missing_count,completeness_score
302560,unlabelled,1799,219,0,0,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0,other,0.7686,0,medium,route_or_clarify,clarify,0.0306,0,1,0,1,1,3,0,0,0,0,0,1.0
302559,unlabelled,1799,219,0,0,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0,other,0.7686,0,medium,route_or_clarify,clarify,0.0306,0,1,0,1,1,3,0,0,0,0,0,1.0
302525,ai_translated,1610,207,0,0,0,0,0,0,0,0.9931,72.0,0.0,0,-1.0,other,0.6412,0,medium,route_or_clarify,clarify,0.0215,0,1,0,1,1,3,0,0,0,0,0,1.0
302524,bug,587,98,1,1,3,3,0,1,0,0.986,48.0,0.0764,6,0.67,other,0.3502,1,low,clarify_first,clarify,0.855,1,1,0,1,0,2,0,0,0,0,0,1.0
302504,duplicate,1194,163,0,0,1,0,0,0,0,0.9515,72.0,0.0064,1,3.49,duplicate,0.6661,0,medium,route_or_clarify,route_duplicate,0.024,0,1,0,1,1,3,0,0,0,0,0,1.0
302502,bug,2333,211,0,0,3,1,2,0,0,0.926,48.0,0.0892,3,1.15,bug,0.5256,1,low,clarify_first,route_technical,0.0941,0,1,0,1,1,3,0,1,0,0,1,0.6667
302501,duplicate,6006,584,0,1,1,2,0,1,0,0.8165,72.0,0.0446,3,13.2,other,0.4002,1,low,clarify_first,clarify,0.5888,1,1,0,1,1,3,0,0,0,0,0,1.0
302499,bug,10142,683,0,1,4,1,0,1,0,0.5162,48.0,0.0446,3,0.09,bug,0.4878,1,low,clarify_first,route_technical,0.0723,0,1,0,1,1,3,0,1,0,0,1,0.6667
302477,bug,122,20,0,1,2,1,0,1,0,0.3056,48.0,0.0318,3,0.0,needs_info,0.4215,1,low,clarify_first,clarify,0.0753,0,0,0,0,0,0,0,0,0,0,0,1.0
302475,bug,3148,561,0,1,2,1,0,1,0,0.1208,48.0,0.0318,2,23.48,other,0.323,1,low,clarify_first,clarify,0.5171,0,1,0,1,0,2,0,0,0,0,0,1.0
302471,unlabelled,1104,177,1,1,2,0,0,1,0,0.9997,72.0,0.0127,1,0.0,other,0.5631,1,low,clarify_first,clarify,0.2233,0,0,0,1,0,1,0,0,0,0,0,1.0
302467,unlabelled,2604,336,0,0,1,0,0,0,0,0.9993,72.0,0.0064,1,0.62,other,0.629,0,medium,route_or_clarify,clarify,0.0486,0,1,0,0,0,1,0,0,0,0,0,1.0
302465,unlabelled,2582,332,0,0,1,0,0,0,0,0.9996,72.0,0.0064,1,0.07,other,0.6472,0,medium,route_or_clarify,clarify,0.0486,0,1,0,0,0,1,0,0,0,0,0,1.0
302452,info_needed,3492,328,0,1,4,3,0,1,0,0.9124,72.0,0.0828,5,0.01,needs_info,0.569,1,low,clarify_first,clarify,0.1414,0,1,0,1,1,3,0,0,0,0,0,1.0
302443,billing,7956,720,0,1,1,0,0,1,0,0.9988,24.0,0.0064,1,44.99,billing,0.4893,1,low,clarify_first,route_billing,0.0759,0,1,0,1,1,3,0,0,0,0,0,1.0
302439,invalid,130,23,1,0,2,0,0,0,0,0.9996,72.0,0.0127,1,0.03,other,0.5307,1,low,clarify_first,clarify,0.1597,0,0,0,0,0,0,0,0,0,0,0,1.0
302438,unlabelled,329,51,0,0,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0,other,0.6131,0,medium,route_or_clarify,clarify,0.0524,0,1,0,1,0,2,0,0,0,0,0,1.0
